Experiment,sigma_c,kappa,Status
E1_ferromagnetic,8.0,1.7907086401668117,PASSED
E3_entanglement_timescales,0.6736842105263158,8.584229390680992,PASSED
E4_domains,5.0,1.4101288429646641,FAILED
E5_phase_transition,1.8210526315789475,2.414993306559577,PASSED
E6_decoherence,0.6842105263157894,1.651376146788986,FAILED
